TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT	EXTRA
activainactiva_operador	IdOperador	int	YES		NULL	
activainactiva_operador	IdIdentificador	int	YES		NULL	
activainactiva_operador	ActivoInactivo	tinyint(1)	YES		NULL	
activainactiva_operador	IdCliente	int	YES		NULL	
activainactiva_operador	IdSucursal	int	YES		NULL	
activofijo_activo_ajustaactivo	IdActivoFijoAjustaActivo	int	NO		NULL	
activofijo_activo_ajustaactivo	IdActivoFijoInserta	int	NO		NULL	
activofijo_activo_ajustaactivo	IdDiario	int	NO		NULL	
activofijo_activo_ajustaactivo	D_H	varchar(1)	NO		NULL	
activofijo_activo_ajustaactivo	Glosa	varchar(250)	NO		NULL	
activofijo_activo_ajustaactivo	MontoBolivianos	decimal(10,2)	NO		NULL	
activofijo_activo_ajustaactivo	TipoDeCambio	decimal(10,6)	NO		NULL	
activofijo_activo_ajustaactivo	OtraMoneda	decimal(10,2)	NO		NULL	
activofijo_activo_ajustaactivo	IdContraCuenta	int	NO		NULL	
activofijo_activo_ajustaactivo	IdCliente	int	NO		NULL	
activofijo_activo_ajustaactivo	IdSucursal	int	NO		NULL	
activofijo_activo_ajustaactivo	IdOperadorIngreso	int	YES		NULL	
activofijo_activo_ajustaactivo	FechaIngreso	timestamp	NO		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
activofijo_activo_ajustaactivo	IdOperadorEdita	int	YES		NULL	
activofijo_activo_ajustaactivo	FechaEdita	timestamp	NO		0000-00-00 00:00:00	
activofijo_activo_ajustadepreciacion	IdActivoFijoAjustaDepreciacion	int	NO		NULL	
activofijo_activo_ajustadepreciacion	IdActivoFijoInserta	int	NO		NULL	
activofijo_activo_ajustadepreciacion	IdDiario	int	NO		NULL	
activofijo_activo_ajustadepreciacion	D_H	varchar(1)	NO		NULL	
activofijo_activo_ajustadepreciacion	Glosa	varchar(250)	NO		NULL	
activofijo_activo_ajustadepreciacion	MontoBolivianos	decimal(10,2)	NO		NULL	
activofijo_activo_ajustadepreciacion	TipoDeCambio	decimal(10,6)	NO		NULL	
activofijo_activo_ajustadepreciacion	OtraMoneda	decimal(10,2)	NO		NULL	
activofijo_activo_ajustadepreciacion	IdContraCuenta	int	NO		NULL	
activofijo_activo_ajustadepreciacion	IdCliente	int	NO		NULL	
activofijo_activo_ajustadepreciacion	IdSucursal	int	NO		NULL	
activofijo_activo_ajustadepreciacion	IdOperadorIngreso	int	NO		NULL	
activofijo_activo_ajustadepreciacion	FechaIngreso	timestamp	NO		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
activofijo_activo_ajustadepreciacion	IdOperadorEdita	int	NO		NULL	
activofijo_activo_ajustadepreciacion	FechaEdita	timestamp	NO		0000-00-00 00:00:00	
activofijo_activo_deprecia	IdActivoFijoDeprecia	int	NO		NULL	
activofijo_activo_deprecia	IdActivoFijoInserta	int	NO		NULL	
activofijo_activo_deprecia	IdFecha	int	NO		NULL	
activofijo_activo_deprecia	IdDiario	int	NO		NULL	
activofijo_activo_deprecia	NumeroCorrelativo	int	NO		NULL	
activofijo_activo_deprecia	MontoBolivianos	decimal(10,2)	NO		NULL	
activofijo_activo_deprecia	TipoDeCambio	decimal(10,6)	NO		NULL	
activofijo_activo_deprecia	OtraMoneda	decimal(10,2)	NO		NULL	
activofijo_activo_deprecia	ActivoInactivo	tinyint(1)	NO		NULL	
activofijo_activo_deprecia	IdCliente	int	NO		NULL	
activofijo_activo_deprecia	IdSucursal	int	NO		NULL	
activofijo_activo_deprecia	IdOperadorIngreso	int	NO		NULL	
activofijo_activo_deprecia	FechaIngreso	timestamp	NO		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
activofijo_activo_deprecia	IdOperadorEdita	int	NO		NULL	
activofijo_activo_deprecia	FechaEdita	timestamp	NO		0000-00-00 00:00:00	
activofijo_activo_inserta	IdActivoFijoInserta	int	NO		NULL	
activofijo_activo_inserta	IdActivoFijo	int	NO		NULL	
activofijo_activo_inserta	Unidades	decimal(10,2)	NO		NULL	
activofijo_activo_inserta	IdDiario	int	NO		NULL	
activofijo_activo_inserta	MontoBolivianos	decimal(10,2)	NO		NULL	
activofijo_activo_inserta	TipoDeCambio	decimal(10,6)	NO		NULL	
activofijo_activo_inserta	MontoOtraMoneda	decimal(10,2)	NO		NULL	
activofijo_activo_inserta	Impuestos	tinytext	NO		NULL	
activofijo_activo_inserta	NumeroFactura	varchar(10)	YES		NULL	
activofijo_activo_inserta	CreditoFiscal	decimal(10,2)	NO		NULL	
activofijo_activo_inserta	IUE_Retenciones	decimal(10,2)	NO		NULL	
activofijo_activo_inserta	IT_Retenciones	decimal(10,2)	NO		NULL	
activofijo_activo_inserta	ValorNetoBolivianos	decimal(10,2)	NO		NULL	
activofijo_activo_inserta	ValorNetoOtraMoneda	decimal(10,2)	NO		NULL	
activofijo_activo_inserta	Deducibilidad	tinytext	NO		NULL	
activofijo_activo_inserta	IdContraCuenta	int	NO		NULL	
activofijo_activo_inserta	IdIdentificador	int	NO		NULL	
activofijo_activo_inserta	IdActividad	int	NO		NULL	
activofijo_activo_inserta	IdOperadorIngresa	int	NO		NULL	
activofijo_activo_inserta	FechaIngreso	timestamp	NO		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
activofijo_activo_inserta	IdOperadorActualiza	int	NO		NULL	
activofijo_activo_inserta	FechaActualiza	timestamp	YES		NULL	
activofijo_activo_inserta	IdCliente	int	NO		NULL	
activofijo_activo_inserta	IdSucursal	int	NO		NULL	
activofijo_detalle	IdActivoFijo	int	NO		NULL	
activofijo_detalle	CodigoActivo	varchar(30)	NO		NULL	
activofijo_detalle	Detalle	varchar(50)	NO		NULL	
activofijo_detalle	IdTablaDepreciacion	int	NO		NULL	
